 [-0.018289  0.058408  0.336095]
 [-0.026222  0.057819  0.336147]
 [-0.034032  0.055307  0.336179]
 [-0.042552  0.051769  0.336187]
 [-0.050051  0.046961  0.336159]
 [-0.057968  0.038714  0.335991]
 [-0.065286  0.028362  0.335512]
 [-0.071625  0.018228  0.334642]
 [-0.077398  0.006982  0.333501]
 [-0.081364 -0.006229  0.332216]
 [-0.084269 -0.018526  0.330847]
 [-0.085697 -0.029517  0.329514]
 [-0.086334 -0.03826   0.328143]
 [-0.085419 -0.049198  0.327029]
 [-0.081938 -0.056239  0.325548]
 [-0.074913 -0.063607  0.324388]
 [-0.064228 -0.074436  0.32345 ]
 [-0.05375  -0.080137  0.322475]
 [-0.040363 -0.086965  0.321158]
 [-0.027381 -0.0901    0.319104]
 [-0.014032 -0.092888  0.317493]
 [-0.002924 -0.093245  0.315702]
 [ 0.009635 -0.092398  0.314423]
 [ 0.020113 -0.088014  0.313306]
 [ 0.030883 -0.081052  0.31253 ]
 [ 0.03938  -0.074324  0.312033]
 [ 0.04673  -0.064252  0.311709]
 [ 0.051704 -0.051266  0.311484]
 [ 0.055014 -0.040536  0.311321]
 [ 0.057335 -0.02936   0.311205]
 [ 0.058272 -0.015651  0.311133]
 [ 0.058239 -0.003493  0.311114]
 [ 0.057224  0.008087  0.311127]
 [ 0.053678  0.017919  0.311283]
 [ 0.047795  0.029397  0.311527]
 [ 0.040856  0.036537  0.311835]
 [ 0.032985  0.041859  0.312469]
 [ 0.023377  0.05045   0.31365 ]
 [ 0.01343   0.054763  0.314845]
 [ 0.003667  0.056883  0.316036]
 [-0.004299  0.057075  0.317161]
 [-0.011949  0.057193  0.31828 ]
 [-0.017275  0.057239  0.319145]
 [-0.020539  0.056587  0.319913]
 [-0.022675  0.056644  0.320504]
 [-0.023617  0.056622  0.320946]]
[[-0.013274  0.065015  0.324146]
 [-0.013982  0.065738  0.324283]
 [-0.014416  0.065752  0.324424]
 [-0.015077  0.065735  0.32456 ]
 [-0.015621  0.065754  0.324686]
 [-0.016267  0.06583   0.3248  ]
 [-0.017866  0.065637  0.324923]
 [-0.019948  0.06438   0.325057]
 [-0.023417  0.062744  0.3252  ]
 [-0.027496  0.058972  0.325316]
 [-0.032352  0.05408   0.325409]
 [-0.037543  0.047754  0.325482]
 [-0.042542  0.037975  0.32554 ]
 [-0.04636   0.026789  0.325579]
 [-0.048711  0.013042  0.325578]
 [-0.049791  0.001924  0.325365]
 [-0.049665 -0.01134   0.32457 ]
 [-0.046341 -0.024364  0.322926]
 [-0.039581 -0.035107  0.320085]
 [-0.027866 -0.044581  0.316782]
 [-0.017285 -0.053877  0.313718]
 [-0.00575  -0.060399  0.310154]
 [ 0.007258 -0.06558   0.306667]
 [ 0.020013 -0.06971   0.303139]
 [ 0.033807 -0.070607  0.300124]
 [ 0.044818 -0.070608  0.297935]
 [ 0.055381 -0.065712  0.29641 ]
 [ 0.063745 -0.060074  0.295407]
 [ 0.068734 -0.04783   0.294686]
 [ 0.072262 -0.037878  0.294203]
 [ 0.073781 -0.026508  0.293891]
 [ 0.073782 -0.015626  0.293686]
 [ 0.071509 -0.004378  0.293573]
 [ 0.06679   0.004866  0.293554]
 [ 0.061373  0.013473  0.293583]
 [ 0.05275   0.020722  0.293896]
 [ 0.043691  0.029311  0.294544]
 [ 0.035275  0.033766  0.295565]
 [ 0.026406  0.037579  0.296768]
 [ 0.016135  0.043228  0.297731]
 [ 0.007833  0.045925  0.298704]
 [-0.000867  0.046583  0.299776]
 [-0.008237  0.047067  0.300879]
 [-0.015438  0.047076  0.301852]
 [-0.021675  0.046416  0.302815]
 [-0.02736   0.045176  0.30381 ]
 [-0.031464  0.043017  0.304814]
 [-0.034491  0.04225   0.305687]
 [-0.035715  0.040829  0.3064  ]
 [-0.036286  0.040231  0.306961]
 [-0.0365    0.040199  0.30741 ]]
[[-0.031071  0.0447    0.310704]
 [-0.030163  0.045145  0.310808]
 [-0.029208  0.046936  0.310924]
 [-0.027472  0.04799   0.31109 ]
 [-0.02548   0.050527  0.311368]
 [-0.021671  0.053569  0.311838]
 [-0.016882  0.05668   0.312504]
 [-0.010216  0.05924   0.313287]
 [-0.002309  0.061576  0.314179]
 [ 0.006625  0.063011  0.31508 ]
 [ 0.01844   0.062834  0.315951]
 [ 0.031122  0.059626  0.316607]
 [ 0.043837  0.054049  0.317019]
 [ 0.05684   0.040855  0.317292]
 [ 0.066734  0.029447  0.317479]
 [ 0.072495  0.012938  0.317588]
 [ 0.074744 -0.002666  0.31759 ]
 [ 0.074605 -0.015061  0.317217]
 [ 0.069519 -0.025946  0.313498]
 [ 0.057252 -0.036552  0.308472]
 [ 0.041739 -0.042916  0.30351 ]
 [ 0.025126 -0.046957  0.297763]
 [ 0.006747 -0.048459  0.292328]
 [-0.00764  -0.048975  0.287968]
 [-0.021549 -0.048533  0.284559]
 [-0.032613 -0.044944  0.281692]
 [-0.04092  -0.037026  0.279125]
 [-0.046423 -0.025961  0.277281]
 [-0.050785 -0.013321  0.275961]
 [-0.053054 -0.001878  0.275198]
 [-0.054148  0.010332  0.274747]
 [-0.054269  0.01938   0.274531]
 [-0.054109  0.031053  0.274511]
 [-0.052604  0.038451  0.274732]
 [-0.049234  0.044984  0.275843]
 [-0.045539  0.050904  0.277679]
 [-0.039899  0.055103  0.28009 ]
 [-0.033571  0.059139  0.282819]
 [-0.028739  0.063555  0.285847]
 [-0.022799  0.066528  0.288971]
 [-0.016819  0.068472  0.292062]
 [-0.010867  0.068717  0.295232]
 [-0.005257  0.068917  0.298349]
 [-0.000823  0.069348  0.300996]
 [ 0.002227  0.069168  0.302984]
 [ 0.004612  0.069414  0.304824]]
[[ 0.008757  0.067024  0.312852]
 [ 0.008466  0.067104  0.313006]
 [ 0.007652  0.067309  0.313161]
 [ 0.00619   0.067648  0.313377]
 [ 0.004084  0.067638  0.313637]
 [ 0.001458  0.067641  0.313961]
 [-0.002797  0.067638  0.314273]
 [-0.007786  0.066578  0.314494]
 [-0.015319  0.066198  0.314654]
 [-0.021309  0.063166  0.314773]
 [-0.028515  0.060783  0.31485 ]
 [-0.034557  0.054453  0.314892]
 [-0.041705  0.047616  0.314897]
 [-0.048075  0.037283  0.314848]
 [-0.054619  0.025967  0.314626]
 [-0.059252  0.01371   0.314426]
 [-0.059981 -0.001288  0.313481]
 [-0.059865 -0.012491  0.311855]
 [-0.055807 -0.025079  0.310046]
 [-0.047554 -0.033615  0.307874]
 [-0.035198 -0.040268  0.305493]
 [-0.022296 -0.047001  0.303499]
 [-0.008988 -0.04949   0.301849]
 [ 0.002716 -0.050576  0.300454]
 [ 0.015102 -0.050343  0.299456]
 [ 0.025735 -0.048417  0.2988  ]
 [ 0.034236 -0.038931  0.298329]
 [ 0.041355 -0.030574  0.298023]
 [ 0.045994 -0.022492  0.297839]
 [ 0.048676 -0.01095   0.297827]
 [ 0.048844 -0.002332  0.297879]
 [ 0.047729  0.009652  0.298154]
 [ 0.043597  0.01776   0.29858 ]
 [ 0.036478  0.023837  0.299152]
 [ 0.027934  0.031548  0.299993]
 [ 0.019456  0.035827  0.300795]
 [ 0.009711  0.040696  0.301571]
 [ 0.000561  0.042666  0.302325]
 [-0.008383  0.044976  0.302931]
 [-0.016477  0.046886  0.303428]
 [-0.022698  0.047149  0.303844]
 [-0.028112  0.047518  0.304238]
 [-0.032405  0.047772  0.304581]
